ttf-font-awesome 6.6.0-1
ttf-font-awesome-4 4.7.0-7
ttf-font-awesome-5 5.15.4-1
ttf-hack-nerd 3.2.1-2
ttf-inconsolata 1:3.000-4
ttf-iosevka-nerd 3.2.1-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.2.1-2
ttf-material-design-iconic-font 2.2.0-1
ttf-meslo-nerd 3.2.1-2
ttf-meslo-nerd-font-powerlevel10k 2.3.3-1
ttf-opensans 1.101-3
tty-clock 2.3-2
tty-clock-debug 2.3-2
tzdata 2024b-2
udisks2 2.10.1-5
unibilium 2.1.1-2
unzip 6.0-21
upower 1.90.6-1
usbutils 018-1
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
v4l-utils 1.28.1-1
vapoursynth R70-1
vid.stab 1.1.1-2
virtualbox 7.1.4-1
virtualbox-host-modules-arch 7.1.4-5
visual-studio-code-bin 1.95.1-1
visual-studio-code-bin-debug 1.95.1-1
vlc 3.0.21-6
vmaf 3.0.0-1
volume_key 0.3.12-9
vulkan-headers 1:1.3.295-1
vulkan-icd-loader 1.3.295-1
vulkan-radeon 1:24.2.6-1
wakeonlan 0.42-2
wasi-compiler-rt 18.1.8-2
wasi-libc 1:0+392+b9ef79d7-1
wasi-libc++ 18.1.8-4
wasi-libc++abi 18.1.8-4
wayland 1.23.1-1
webkit2gtk 2.46.3-1
webrtc-audio-processing-1 1.3-3
wget 1.24.5-3
which 2.21-6
wine 9.20-1
wireguard-dkms 1.0.20220627-1
wireguard-tools 1.0.20210914-2
wireshark-cli 4.4.1-1
wireshark-qt 4.4.1-1
woff2 1.0.2-5
wpa_supplicant 2:2.11-2
wpebackend-fdo 1.14.3-1
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xapp 2.8.5-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xclip 0.13-5
xdg-dbus-proxy 0.1.6-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xf86-video-fbdev 0.5.0-4
xf86-video-vesa 2.6.0-2
xfconf 4.18.3-3
xkeyboard-config 2.43-1
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.14-1
xorg-server-common 21.1.14-1
xorg-server-devel 21.1.14-1
xorg-server-xephyr 21.1.14-1
xorg-server-xnest 21.1.14-1
xorg-server-xvfb 21.1.14-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-util-macros 1.20.1-1
xorg-x11perf 1.7.0-1
